base structure 1, no replacement, CC(C1=[N+]2C(C([P+](C3=CC=CC=C3)([Fe-3]24)C5=CC=CC=C5)=CC=C6)=C6C=C1)=[N+]4C7=CC=CC=C7
base structure 2, sub group 1, [F]c:1:c(:c:c:c:c1)[P+]1(c:2:c([F]):c:c:c:c2)c:2:c:3[N+]4=C(C=Cc3:c:c:c2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]14)C
base structure 2, sub group 2, [Cl]c:1:c(:c:c:c:c1)[P+]1(c:2:c([Cl]):c:c:c:c2)c:2:c:3[N+]4=C(C=Cc3:c:c:c2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]14)C
base structure 2, sub group 3, [Br]c:1:c(:c:c:c:c1)[P+]1(c:2:c([Br]):c:c:c:c2)c:2:c:3[N+]4=C(C=Cc3:c:c:c2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]14)C
base structure 2, sub group 4, [I]c:1:c(:c:c:c:c1)[P+]1(c:2:c([I]):c:c:c:c2)c:2:c:3[N+]4=C(C=Cc3:c:c:c2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]14)C
base structure 2, sub group 5, Nc:1:c(:c:c:c:c1)[P+]1(c:2:c(N):c:c:c:c2)c:2:c:3[N+]4=C(C=Cc3:c:c:c2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]14)C
base structure 2, sub group 6, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(SC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(SC):c:c:c:c1
base structure 2, sub group 7, Sc:1:c(:c:c:c:c1)[P+]1(c:2:c(S):c:c:c:c2)c:2:c:3[N+]4=C(C=Cc3:c:c:c2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]14)C
base structure 2, sub group 8, [PH3]c:1:c(:c:c:c:c1)[P+]1(c:2:c([PH3]):c:c:c:c2)c:2:c:3[N+]4=C(C=Cc3:c:c:c2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]14)C
base structure 2, sub group 9, [O][N](=O)c:1:c(:c:c:c:c1)[P+]1(c:2:c([N](=O)[O]):c:c:c:c2)c:2:c:3[N+]4=C(C=Cc3:c:c:c2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]14)C
base structure 2, sub group 10, [O][S](=O)([O])c:1:c(:c:c:c:c1)[P+]1(c:2:c([S](=O)([O])[O]):c:c:c:c2)c:2:c:3[N+]4=C(C=Cc3:c:c:c2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]14)C
base structure 2, sub group 11, [F]C([F])([F])c:1:c(:c:c:c:c1)[P+]1(c:2:c(C([F])([F])[F]):c:c:c:c2)c:2:c:3[N+]4=C(C=Cc3:c:c:c2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]14)C
base structure 2, sub group 12, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(c:4:c:c:c:c:c4):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(c:2:c:c:c:c:c2):c:c:c:c1
base structure 2, sub group 13, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(Cc:4:c:c:c:c:c4):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(Cc:2:c:c:c:c:c2):c:c:c:c1
